entry	name	size	calls_out	called_by
03b782	FUN_03b782	34		
03b826	FUN_03b826	34		
03b89c	FUN_03b89c	34		
03ba02	FUN_03ba02	34		
03bc30	FUN_03bc30	34		
03be14	FUN_03be14	4		
03be18	FUN_03be18	18		038368
03be2a	FUN_03be2a	16		
03be7c	FUN_03be7c	34		0387ce
03c470	FUN_03c470	72		0382b2
03c750	FUN_03c750	126	03731a	038368
03c97a	FUN_03c97a	244	004000,03440c,0362fc	
03ca6e	FUN_03ca6e	130	027b1c	
03caf0	FUN_03caf0	46		
03cc54	FUN_03cc54	20		
03cf54	FUN_03cf54	84	034744,0348ac	038d12
03cfb0	FUN_03cfb0	10	034672	
03cfc4	thunk_FUN_0348ac	4	0348ac	
03d0e6	FUN_03d0e6	14	0348ac	
03d408	thunk_FUN_034a6a	4	034a6a	
03d464	FUN_03d464	590	034484,034562,0346ce,0348ac,038e50,038f1a,038f54,039052,03959c,039788	
03d7e0	FUN_03d7e0	22	034552	
03d808	thunk_EXT_FUN_ef03da	4		
03d820	FUN_03d820	38	034484,0346ce	
03d8a6	FUN_03d8a6	1564	026da0,027b1c,03441a,03475a,0347b6,03480a,0348ac,034ba6	
